,分词,出现次数
411,亲人,6
412,山姆,6
413,放弃,6
414,诱惑,6
415,飞行,6
416,霍格沃茨,6
417,好奇,6
418,说服,6
419,士兵,6
420,花屋,6
421,军方,6
422,希达,6
423,陪伴,6
424,汽车,6
425,意大利,6
426,艾佛特,6
427,马克,6
428,公寓,6
429,年龄,6
430,手段,6
431,手下,6
432,态度,6
433,山洞,6
434,劳伦斯,6
435,黑社会,6
436,本杰明,6
437,烦恼,6
438,对象,6
439,伯恩,6
440,藤井树,6
441,安排,6
442,政府,6
443,联系,6
444,钥匙,6
445,艾米莉,6
446,蓝波,6
447,邀请,6
448,制作,6
449,夫妇,6
450,苏格兰,6
451,信任,6
452,市子,6
453,小孩,6
454,柯尔,6
455,飞机,6
456,婚姻,6
457,出走,6
458,上海,6
459,欧阳锋,6
460,霍格沃兹,6
461,天书,6
462,露西,6
463,钻石,6
464,玛拉,6
465,菜埔,6
466,瑞茨,6
467,银行,5
468,情人,5
469,大哥,5
470,瑞德,5
471,知识,5
472,约定,5
473,认定,5
474,时代,5
475,收到,5
476,见面,5
477,里昂,5
478,冲突,5
479,豪华,5
480,莱昂纳,5
481,迪卡普里奥,5
482,厌倦,5
483,活泼,5
484,考验,5
485,犹太,5
486,集中营,5
487,爷爷,5
488,幸运,5
489,目睹,5
490,屠杀,5
491,失败,5
492,对手,5
493,求助,5
494,加入,5
495,注定,5
496,安妮,5
497,钢琴,5
498,爵士,5
499,情愫,5
500,初恋,5
501,身亡,5
502,感觉,5
503,强烈,5
504,严格,5
505,理想,5
506,恶劣,5
507,意识,5
508,状况,5
509,创作,5
510,作品,5
511,单亲,5
512,刘健明,5
513,深入,5
514,暴露,5
515,姐姐,5
516,史密斯,5
517,一见钟情,5
518,伦敦,5
519,著名,5
520,争斗,5
521,惊人,5
522,愿意,5
523,负责,5
524,信仰,5
525,时期,5
526,米格尔,5
527,安东尼,5
528,斯嘉丽,5
529,艾希礼,5
530,法庭,5
531,赞恩,5
532,原因,5
533,举动,5
534,伙伴,5
535,指导,5
536,偶遇,5
537,伏地魔,5
538,想象,5
539,势力,5
540,房间,5
541,追求,5
542,理查德,5
543,阳光,5
544,组成,5
545,罪名,5
546,讨论,5
547,苏菲,5
548,中国,5
549,表面,5
550,合作,5
551,代表,5
552,意义,5
553,无意,5
554,体验,5
555,斗争,5
556,残酷,5
557,艾米,5
558,追捕,5
559,当晚,5
560,刀疤,5
561,对抗,5
562,安全,5
563,爆发,5
564,崔妮蒂,5
565,墨菲斯,5
566,尼奥,5
567,抵抗,5
568,老朱,5
569,卷入,5
570,托尼,5
571,主角,5
572,远离,5
573,劳拉,5
574,掩盖,5
575,风暴,5
576,瑞恩,5
577,鞋子,5
578,成人,5
579,剩下,5
580,罪行,5
581,隐瞒,5
582,现在,5
583,麻烦,5
584,华莱士,5
585,布奇,5
586,泰迪,5
587,贪婪,5
588,冷静,5
589,凶手,5
590,古斯塔沃,5
591,度假,5
592,夫人,5
593,黎耀辉,5
594,明白,5
595,短暂,5
596,战士,5
597,部落,5
598,地区,5
599,历史,5
600,尹天仇,5
601,单纯,5
602,阴谋,5
603,加勒比海,5
604,珍珠,5
605,坏蛋,5
606,抢劫,5
607,艾力奥,5
608,压力,5
609,微型,5
610,奇幻,5
611,都市,5
612,相遇,5
613,浪漫,5
614,外婆,5
615,社区,5
616,完成,5
617,圣司,5
618,小倩,5
619,小宏,5
620,试图,5
621,树木,5
622,希林,5
623,动画片,5
624,席琳,5
625,班纳特,5
626,安德鲁,5
627,迪亚戈,5
