,分词,出现次数
1650,弗朗索瓦,2
1651,克鲁塞,2
1652,奥玛,2
1653,重担,2
1654,明显,2
1655,舒适,2
1656,豪宅,2
1657,韦菲,2
1658,hton,2
1659,依旧,2
1660,虚弱,2
1661,护士,2
1662,关心,2
1663,作用,2
1664,沃尔,2
1665,环环相扣,2
1666,戈登,2
1667,进展,2
1668,胆子,2
1669,高谭,2
1670,污秽,2
1671,声称,2
1672,源头,2
1673,市民,2
1674,有史以来,2
1675,葛优,2
1676,凤霞,2
1677,当夜,2
1678,内战,2
1679,团圆,2
1680,变革,2
1681,卫生间,2
1682,嘲笑,2
1683,伤痕,2
1684,现世,2
1685,国度,2
1686,太阳,2
1687,德拉库斯,2
1688,农场,2
1689,费雯,2
1690,Leigh,2
1691,报复,2
1692,梅兰妮,2
1693,查尔斯,2
1694,寡妇,2
1695,亲生,2
1696,商贩,2
1697,母子,2
1698,扶持,2
1699,磨难,2
1700,Sean,2
1701,一路上,2
1702,艰难险阻,2
1703,魔戒,2
1704,勇士,2
1705,刚铎,2
1706,首都,2
1707,决战,2
1708,指环王,2
1709,三部曲,2
1710,视觉,2
1711,效果,2
1712,音效,2
1713,歌曲,2
1714,摔跤,2
1715,巴比塔,2
1716,幡然醒悟,2
1717,小子,2
1718,女孩子,2
1719,爱好,2
1720,南美洲,2
1721,仙境,2
1722,瀑布,2
1723,气球,2
1724,天空,2
1725,喋喋,2
1726,步行,2
1727,凯文,2
1728,坏人,2
1729,利波特,2
1730,入学,2
1731,巨人,2
1732,超乎,2
1733,守护,2
1734,蒙特娄,2
1735,动物园,2
1736,特殊,2
1737,本性,2
1738,移民,2
1739,加拿大,2
1740,厨师,2
1741,茫茫,2
1742,太平洋,2
1743,命名,2
1744,忙碌,2
1745,繁重,2
1746,媒体,2
1747,渲染,2
1748,耻辱,2
1749,目光,2
1750,治愈,2
1751,陪审团,2
1752,一致,2
1753,死刑,2
1754,案子,2
1755,制帽店,2
1756,坚持,2
1757,移动,2
1758,堡垒,2
1759,吸取,2
1760,巫术,2
1761,老太婆,2
1762,日军,2
1763,陆军,2
1764,小三郎,2
1765,翻译,2
1766,看管,2
1767,求救,2
1768,担心,2
1769,宪兵队,2
1770,指责,2
1771,漂浮,2
1772,财富,2
1773,护送,2
1774,偷走,2
1775,请求,2
1776,白骨,2
1777,恋情,2
1778,周旋,2
1779,中年,2
1780,程勇,2
1781,困难重重,2
1782,商机,2
1783,白血病,2
1784,舞女,2
1785,牧师,2
1786,暴烈,2
1787,黄毛,2
1788,危机四伏,2
1789,昔日,2
1790,舅子,2
1791,奉命,2
1792,贩子,2
1793,尔•帕西诺,2
1794,辉煌,2
1795,狭窄,2
1796,跟随,2
1797,对准,2
1798,劝阻,2
1799,奥黛丽,2
1800,身心俱疲,2
1801,欣赏,2
1802,欧文,2
1803,功成名就,2
1804,假期,2
1805,果断,2
1806,放映师,2
1807,胶片,2
1808,艾弗达,2
1809,火海,2
1810,双目,2
1811,接替,2
1812,纯洁,2
1813,服兵役,2
1814,家乡,2
1815,电影院,2
1816,往昔,2
1817,学历,2
1818,宋康昊,2
1819,业务,2
1820,名片,2
1821,小弟,2
1822,大婶,2
1823,良心,2
1824,社团,2
1825,叛逆,2
1826,发泄,2
1827,滋事,2
1828,争执,2
1829,思考,2
1830,通缉犯,2
1831,常人,2
1832,足迹,2
1833,本领,2
1834,布雷达,2
1835,检察官,2
1836,过人,2
1837,捉弄,2
1838,精心,2
1839,花果山,2
1840,化身,2
1841,孙大圣,2
1842,龙宫,2
1843,强硬,2
1844,东海,2
1845,龙王,2
1846,玉帝,2
1847,受骗,2
1848,大战,2
1849,特别奖,2
1850,年度,2
1851,百花奖,2
1852,美术片,2
1853,美利坚,2
1854,科利昂,2
1855,兄长,2
1856,沃森,2
1857,名姓,2
1858,叔叔,2
1859,王位,2
1860,借口,2
1861,外出,2
1862,赶尽杀绝,2
1863,长成,2
1864,延续,2
1865,情节,2
1866,结尾,2
1867,侏儒金利,2
1868,营救,2
1869,白袍巫师,2
1870,麦凯伦,2
1871,萨鲁曼,2
1872,洛汉王国,2
1873,消灭,2
1874,树精,2
1875,大会,2
1876,米尔,2
1877,法莫尔,2
1878,闻名,2
1879,名校,2
1880,刻板,2
1881,聆听,2
1882,男生,2
1883,违反,2
1884,史标曼,2
1885,艾德里安•布洛迪,2
1886,钢琴师,2
1887,标曼,2
1888,猛烈,2
1889,废墟,2
1890,阁楼,2
1891,萌发,2
1892,解放,2
1893,网络,2
1894,基奴,2
1895,李维斯,2
1896,摩丝,2
1897,人工智能,2
1898,救世主,2
1899,代码,2
1900,魔君,2
1901,战役,2
1902,半兽人,2
1903,征服,2
1904,挺身而出,2
1905,远征,2
1906,监听,2
1907,德莱曼,2
1908,文章,2
1909,郎雄,2
1910,吸引力,2
1911,长大成人,2
1912,吃饭,2
1913,低谷,2
1914,操心,2
1915,晚年,2
1916,料到,2
1917,吃惊,2
1918,理论,2
1919,短短,2
1920,领域,2
1921,珍妮弗•,2
1922,不懈努力,2
1923,敏捷,2
1924,高额,2
1925,赌债,2
1926,购买,2
1927,安分,2
1928,幽默,2
1929,马邦德,2
1930,偏僻,2
1931,霸主,2
1932,周润发,2
1933,原本,2
1934,支付,2
1935,节骨眼,2
1936,司机,2
1937,凯特,2
1938,凯若琳,2
1939,•巴顿,2
1940,养老院,2
1941,装作,2
1942,剧烈,2
1943,棒球,2
1944,电视,2
1945,出海,2
1946,院方,2
1947,联合,2
1948,高大,2
1949,姨母,2
1950,收获,2
1951,彼得,2
1952,泽塞曼,2
1953,远在,2
1954,艾德里安,2
1955,马里奥,2
1956,蒸蒸日上,2
1957,修理,2
1958,宣战,2
1959,情欲,2
1960,一举一动,2
1961,诱人,2
1962,知情,2
1963,淹没,2
1964,淫欲,2
1965,法院,2
1966,料想,2
1967,兄弟,2
1968,救援,2
1969,米勒,2
1970,上尉,2
1971,杰里米,2
1972,死神,2
1973,沉重,2
1974,Zahra,2
1975,修补,2
1976,指望,2
1977,打工,2
1978,美梦,2
1979,报名,2
1980,日期,2
1981,提醒,2
1982,服务,2
1983,铁丝网,2
1984,芝加哥,2
1985,渡边博子,2
1986,悲痛,2
1987,情书,2
1988,大自然,2
1989,忘记,2
1990,修道院,2
1991,管教,2
1992,引导,2
1993,逃跑,2
1994,训练师,2
1995,挑选,2
1996,利益,2
1997,流氓,2
1998,存放,2
1999,基金,2
2000,手提箱,2
2001,迁葬,2
2002,公墓,2
2003,黛博拉,2
2004,詹妮弗,2
2005,理智,2
2006,斯科特,2
2007,箱子,2
2008,清楚,2
2009,ristian,2
2010,丰富,2
2011,平平,2
2012,心智,2
2013,创造力,2
2014,技巧,2
2015,顶级,2
2016,掌握,2
2017,保证,2
2018,友谊,2
2019,酝酿,2
2020,指派,2
2021,监禁,2
2022,条件,2
2023,联邦,2
2024,序幕,2
2025,尾声,2
2026,朱尔斯,2
2027,用餐,2
2028,开端,2
2029,表示,2
2030,感悟,2
2031,离奇,2
2032,失踪案,2
2033,事实上,2
2034,确实,2
2035,情景,2
2036,琐碎,2
2037,天主教,2
2038,死者,2
2039,手法,2
2040,血气方刚,2
2041,Brad,2
2042,破案,2
2043,宗教,2
2044,理工学院,2
2045,浪费,2
2046,无计可施,2
2047,尚恩,2
2048,Law,2
2049,专心,2
2050,正直,2
2051,价值连城,2
2052,拉开帷幕,2
2053,完整,2
2054,收拾,2
2055,破烂,2
2056,打击,2
2057,螺丝钉,2
2058,卓别林,2
2059,底层,2
2060,厂房,2
2061,微薄,2
2062,重复,2
2063,鼻子,2
2064,贫穷,2
2065,流浪,2
2066,身无分文,2
2067,监牢,2
2068,流浪女,2
2069,潘多拉星,2
2070,格蕾丝,2
2071,博士,2
2072,自然,2
2073,美人,2
2074,耗资,2
2075,波特,2
2076,断定,2
2077,斯内普,2
2078,悠久,2
2079,原著,2
2080,街坊,2
2081,福利会,2
2082,训练班,2
2083,飘飘,2
2084,当红,2
2085,佩格,2
2086,薇诺娜,2
2087,拥抱,2
2088,典型,2
2089,妓女,2
2090,警探,2
2091,凶杀,2
2092,梅伦,2
2093,考虑,2
2094,收买,2
2095,平等,2
2096,策划,2
2097,滋生,2
2098,约翰尼,2
2099,巴尔巴,2
2100,巴伯萨,2
2101,袭击,2
2102,伊莉莎,2
2103,迅速,2
2104,田野,2
2105,女尸,2
2106,朴探员,2
2107,汉城,2
2108,苏探员,2
2109,接手,2
2110,生前,2
2111,强奸,2
2112,搭档,2
2113,粗暴,2
2114,嫌疑,2
2115,推翻,2
2116,无辜,2
2117,报告,2
2118,离婚,2
2119,亲近,2
2120,风口浪尖,2
2121,谎言,2
2122,清白,2
2123,戴安娜,2
2124,王妃,2
2125,脆弱,2
2126,商店,2
2127,今年,2
2128,热情,2
2129,单调,2
2130,生子,2
2131,阿尔玛,2
2132,团聚,2
2133,清贫,2
2134,走私,2
2135,感动,2
2136,冰冷,2
2137,现代,2
2138,医疗,2
2139,焦虑,2
2140,症结,2
2141,侦探,2
2142,惊险,2
2143,威尼斯,2
2144,单元,2
2145,危难,2
2146,诅咒,2
2147,疙瘩,2
2148,火枪,2
2149,桥本爱,2
2150,生长,2
2151,喧嚣,2
2152,环绕,2
2153,幽静,2
2154,日出而作日落而息,2
2155,双手,2
2156,闯荡,2
2157,食材,2
2158,美食,2
2159,融入,2
2160,三浦贵,2
2161,大介,2
2162,少年人,2
2163,挥霍,2
2164,过量,2
2165,夏雨,2
2166,刘忆苦,2
2167,正式,2
2168,成熟,2
2169,帅气,2
2170,鬼魂,2
2171,编号,2
2172,失恋,2
2173,金发,2
2174,温情,2
2175,招待,2
2176,成就,2
2177,解散,2
2178,代理,2
2179,大悟,2
2180,普通人,2
2181,吵闹,2
2182,欢喜,2
2183,料理,2
2184,静静地,2
2185,图谋,2
2186,华安,2
2187,游览,2
2188,谈论,2
2189,深刻,2
2190,再见,2
2191,日出,2
2192,邓恩,2
2193,阿弗莱克,2
2194,玛戈,2
2195,暴行,2
2196,踪影,2
2197,并非,2
2198,寻常,2
2199,品行,2
2200,敏敏,2
2201,婷婷,2
2202,婚礼,2
2203,中风,2
2204,昏迷,2
2205,恋爱,2
2206,放下,2
2207,自尊,2
2208,担任,2
2209,濒临,2
2210,绝境,2
2211,顽劣,2
2212,肥胖,2
2213,责骂,2
2214,尾随,2
2215,猫女,2
2216,董事会,2
2217,米兰达,2
2218,肩负,2
2219,哥谭,2
2220,暑假,2
2221,奶奶,2
2222,老公,2
2223,杉村,2
2224,凌晨,2
2225,燕赤霞,2
2226,魔掌,2
2227,苦于,2
2228,弟妹,2
2229,代替,2
2230,现金,2
2231,卡拉汉,2
2232,主持,2
2233,好评,2
2234,突如其来,2
2235,烧毁,2
2236,火灾,2
2237,废弃,2
2238,装备,2
2239,猖獗,2
2240,恩怨,2
2241,萤和银,2
2242,期望,2
2243,李翘,2
2244,邓丽君,2
2245,缓解,2
2246,神木隆,2
2247,手术,2
2248,丛林,2
2249,奇特,2
2250,诺布利特,2
2251,霍夫曼,2
2252,自闭症,2
2253,起伏,2
2254,成年,2
2255,水晶熊奖,2
2256,感人,2
2257,伏原健,2
2258,隐居,2
2259,英子,2
2260,一年四季,2
2261,难得,2
2262,建筑,2
2263,保留,2
2264,树林,2
2265,繁忙,2
2266,土地,2
2267,优雅,2
2268,斯托里克,2
2269,主要,2
2270,斯特丽德,2
2271,新书,2
2272,下午,2
2273,日落,2
2274,赶回,2
2275,麦克格雷格,2
2276,告知,2
2277,护照,2
2278,失效,2
2279,使用,2
2280,工地,2
2281,维克,2
2282,负责人,2
2283,凯瑟琳,2
2284,甜蜜,2
2285,自得其乐,2
2286,娜美,2
2287,夏春花,2
2288,玫瑰,2
2289,傲慢,2
2290,春花,2
2291,身患,2
2292,九宫山,2
2293,下落,2
2294,火箭,2
2295,追赶,2
2296,出关,2
2297,王重阳,2
2298,路过,2
2299,师弟,2
2300,洪七,2
2301,恶战,2
2302,朴鲁圭,2
2303,大桥,2
2304,年头,2
2305,传出,2
2306,小天狼星,2
2307,悄悄,2
2308,卢平,2
2309,防御,2
2310,尾巴,2
2311,棚屋,2
2312,哈利,2
2313,法术,2
2314,造福,2
2315,钱财,2
2316,百姓,2
2317,跳出,2
2318,斗智,2
2319,斗勇,2
2320,滑稽,2
2321,狰狞,2
2322,员工,2
2323,信念,2
2324,被盗,2
2325,新贼,2
2326,维克托,2
2327,领养,2
2328,处理,2
2329,巴斯光年,2
2330,奥斯汀,2
2331,银幕,2
2332,漂亮,2
2333,挽回,2
2334,话剧,2
2335,黑道,2
2336,文森,2
2337,父女,2
2338,成千上万,2
2339,重兵,2
2340,凶险,2
2341,钢锯岭,2
2342,军医,2
2343,真人真事,2
2344,秀安,2
2345,丧尸,2
2346,乘客,2
2347,堕入,2
2348,开车,2
2349,求生,2
2350,肉球,2
2351,撼动,2
2352,言语,2
2353,菲律宾,2
2354,瓦尔兹,2
2355,培养,2
2356,昆汀,2
2357,致敬,2
2358,原创,2
2359,工业,2
2360,虫族,2
2361,毒性,2
2362,周边,2
2363,祥和,2
2364,战火,2
2365,一触即发,2
2366,同志,2
2367,赛门,2
2368,波折,2
2369,山贼,2
2370,队伍,2
2371,保卫,2
2372,笑话,2
2373,偷袭,2
2374,亚当,2
2375,死人,2
2376,录放机,2
2377,磁带,2
2378,车辆,2
2379,规定,2
2380,牵挂,2
2381,收留,2
2382,细心,2
2383,复杂,2
2384,带走,2
2385,丧命,2
2386,斩草除根,2
2387,魔鬼,2
2388,三侠,2
2389,霸王,2
2390,晚会,2
2391,对头,2
2392,厮杀,2
2393,虚拟,2
2394,渗透,2
2395,绿洲,2
2396,心爱,2
2397,波恩,2
2398,主动,2
2399,追击,2
2400,Cage,2
2401,叙述,2
2402,降临,2
2403,全新,2
2404,脑子,2
2405,登陆,2
2406,永利街,2
2407,中心,2
2408,为生,2
2409,支离破碎,2
2410,编剧,2
2411,大盗,2
2412,赫林之女仆,2
2413,知名,2
2414,驾车,2
2415,失散,2
2416,卢旺达,2
2417,图西族,2
2418,奸杀,2
2419,赫奇斯,2
2420,广告牌,2
2421,转型,2
2422,电视剧,2
2423,歌手,2
2424,闷闷,2
2425,苦恼,2
2426,相对,2
2427,涩谷,2
2428,亚洲,2
2429,抗艾,2
2430,药物,2
2431,疗法,2
2432,加纳,2
2433,非常规,2
2434,施压,2
2435,编辑,2
2436,周慕云,2
2437,贸易,2
2438,配偶,2
2439,宿命,2
2440,情夫,2
2441,密谋,2
2442,记住,2
2443,莱纳,2
2444,娜塔莉娅,2
2445,莱昂纳多,2
2446,破译,2
2447,破解,2
2448,领导,2
2449,密码,2
2450,待遇,2
2451,火车人,2
2452,电子,2
2453,乌贼,2
2454,校园,2
2455,交换,2
2456,欢笑,2
2457,会长,2
2458,大佬,2
2459,选举,2
2460,丁青,2
2461,黑色,2
2462,鲜血,2
2463,战场,2
2464,喜剧,2
2465,构成,2
2466,怪异,2
2467,独特,2
2468,斯兹弗隆,2
2469,热烈,2
2470,面容,2
2471,天地,2
2472,成绩,2
2473,乐鼓手,2
2474,完美,2
2475,爆裂鼓手,2
2476,演变,2
2477,兄妹,2
2478,杰玛•,2
2479,马利克,2
2480,拷问,2
2481,拉媞卡,2
2482,好像,2
2483,白陀山,2
2484,慕容嫣,2
2485,谋面,2
2486,剧团,2
2487,Beth,2
2488,白天鹅,2
2489,洛厄里,2
2490,再婚,2
2491,幽会,2
2492,潜逃,2
2493,诺尔曼,2
2494,完毕,2
2495,草食性,2
2496,破壳,2
2497,无敌,2
2498,奖牌,2
2499,反派,2
2500,甜蜜冲刺,2
2501,迁徙,2
2502,剑齿,2
2503,虎迪亚戈,2
2504,精神病院,2
2505,奖金,2
2506,胜过,2
2507,老太太,2
2508,疗养院,2
2509,苏醒,2
2510,信代,2
2511,主张,2
2512,寒冷,2
2513,绿地,2
2514,特里沃,2
2515,爱在午夜降临前,2
2516,对话,2
2517,话题,2
2518,宝物,2
2519,包世宏,2
2520,明争暗斗,2
2521,挣扎,2
2522,游轮,2
2523,慰安妇,2
2524,头盔,2
2525,公立,2
2526,洛克伍德,2
2527,讲话,2
2528,决斗骑士,2
2529,提议,2
2530,面包店,2
2531,凯尔,2
2532,曼彻斯特,2
2533,兰迪,2
2534,物资,2
2535,开心,2
2536,地点,2
2537,中队长,2
2538,油漆匠,2
2539,指挥,2
2540,发达,2
2541,自然环境,2
2542,先进,2
2543,存在,2
2544,马丁,2
2545,重病,2
2546,使命,2
2547,裘德•洛,2
2548,生门,2
2549,荒山,2
2550,惨案,2
2551,美化,2
2552,弃婴,2
2553,羚羊,2
2554,枪杀,2
2555,盗猎者,2
2556,木星,2
2557,冬眠,2
2558,富兰克,2
2559,学长,2
2560,退役,2
2561,卖花女,2
2562,办法,2
2563,资助,2
2564,特务,2
2565,麦太太,2
2566,包龙星,2
2567,知县,2
2568,职位,2
2569,常威,2
2570,妓院,2
2571,滑铁卢,2
2572,小明,2
2573,摇滚乐,2
2574,欺骗,2
2575,老卡特,2
2576,超过,2
2577,辽阔,2
2578,忠良,2
2579,杨宇轩,2
2580,后代,2
2581,邱莫言,2
2582,贺虎,2
2583,行车,2
2584,记录仪,2
2585,肚财,2
2586,草原,2
2587,老实,2
2588,青白,2
2589,德军,2
2590,弗里德里克,2
2591,影院,2
2592,皇后,2
2593,莫库,2
2594,布莱恩,2
2595,友梨,2
2596,次数,2
2597,极品,2
2598,粉钻,2
2599,死乔,2
2600,弗瑞奥萨,2
2601,生育者,2
2602,激烈,2
2603,上路,2
2604,横山,2
2605,纯平,2
2606,生母,2
2607,售票员,2
2608,弗兰卡,2
2609,禁忌,2
2610,万物,2
2611,尤瑞,2
2612,军火,2
2613,贩卖,2
2614,莫名其妙,2
2615,芳香,2
2616,格拉斯,2
2617,语言,2
2618,悲伤,2
2619,老两口,2
2620,儿媳,2
2621,土豆,2
2622,戒毒,2
2623,戴夫,2
2624,课程,2
2625,文格尔,2
2626,环球报,2
2627,栏目,2
2628,宾森,2
2629,基地,2
2630,老年痴呆症,2
2631,军峰,2
2632,帕万,2
2633,无家可归,2
2634,黄志诚,2
2635,刘建明,2
2636,索马里,2
2637,摩加迪休,2
2638,罗宾斯,1
2639,Robbins,1
2640,肖申克,1
2641,另眼相看,1
2642,石锤,1
2643,海报,1
2644,患难,1
2645,大显其才,1
2646,图书,1
2647,金融,1
2648,麾下,1
2649,长洗,1
2650,黑钱,1
2651,作证,1
2652,脱谋,1
2653,杀罪,1
2654,燃起,1
2655,翻案,1
2656,阴险,1
2657,狱长,1
2658,假装,1
2659,泯灭,1
2660,电闪雷鸣,1
2661,老朋友,1
2662,张丰毅,1
2663,师兄弟,1
2664,演生,1
2665,饰旦,1
2666,配合,1
2667,天衣无缝,1
2668,京城,1
2669,合演,1
2670,本质,1
2671,深知,1
2672,人戏,1
2673,妓菊仙,1
2674,菊仙,1
2675,可耻,1
2676,第三者,1
2677,叛徒,1
2678,情仇战,1
2679,风云,1
2680,拉巴马州,1
2681,闭塞,1
2682,先天弱智,1
2683,傻人,1
2684,傻福,1
2685,自强,1
2686,莱特,1
2687,爱护,1
2688,赐予,1
2689,飞毛腿,1
2690,奔跑,1
2691,橄榄球,1
2692,巨星,1
2693,乒乓球,1
2694,使者,1
2695,亿万富翁,1
2696,匆匆,1
2697,离别,1
2698,阿甘,1
2699,雷诺饰,1
2700,雇佣,1
2701,小姑娘,1
2702,纳塔丽,1
2703,波特曼饰,1
2704,房门,1
2705,杀身之祸,1
2706,缉毒组,1
2707,眼线,1
2708,贪污,1
2709,恶警,1
2710,留救,1
2711,昂教,1
2712,法文,1
2713,亲密,1
2714,融洽,1
2715,哀怨,1
2716,情仇,1
2717,正邪,1
2718,在所难免,1
2719,工业史,1
2720,客轮,1
2721,处女航,1
2722,南安普顿,1
2723,出发,1
2724,凯特•,1
2725,码头,1
2726,赌博,1
2727,船票,1
2728,上流,1
2729,虚伪,1
2730,投海自尽,1
2731,罗丝,1
2732,舞会,1
2733,画像,1
2734,星期天,1
2735,风平浪静,1
2736,冰山,1
2737,沉没,1
2738,沉船,1
2739,杰克刚,1
2740,萌芽,1
2741,圭多,1
2742,伯托,1
2743,贝尼尼,1
2744,多拉,1
2745,尼可莱塔,1
2746,布拉斯基,1
2747,彬彬有礼,1
2748,鞠躬,1
2749,啼笑皆非,1
2750,人愿,1
2751,美满,1
2752,血统,1
2753,关押,1
2754,乐天,1
2755,哄骗,1
2756,坦克,1
2757,阴霾,1
2758,问候,1
2759,倾覆,1
2760,小路,1
2761,隧道,1
2762,中世纪,1
2763,大快朵颐,1
2764,古怪,1
2765,透明,1
2766,逃出,1
2767,锅炉,1
2768,浴池,1
2769,打杂,1
2770,怪模怪样,1
2771,吓倒,1
2772,小玲,1
2773,弟子,1
2774,飞舞,1
2775,纸人,1
2776,河神,1
2777,药丸,1
2778,驱出,1
2779,封印,1
2780,守封,1
2781,党卫军,1
2782,隔离,1
2783,尼森,1
2784,Liam,1
2785,Neeson,1
2786,搪瓷厂,1
2787,军需,1
2788,雇用,1
2789,惨绝人寰,1
2790,大屠杀,1
2791,贿赂,1
2792,附属,1
2793,劳役营,1
2794,避难所,1
2795,战败,1
2796,名单,1
2797,荡产,1
2798,暗无天日,1
2799,道姆,1
2800,莱维特,1
2801,·哈斯,1
2802,大亨,1
2803,渡边谦,1
2804,盗梦,1
2805,齐藤威,1
2806,逼利,1
2807,诱因,1
2808,流亡,1
2809,极端,1
2810,措施,1
2811,希里安,1
2812,深层,1
2813,下放,1
2814,自立门户,1
2815,重返,1
2816,岳父,1
2817,设计师,1
2818,艾里,1
2819,德妮,1
2820,Page,1
2821,艾姆斯,1
2822,药剂师,1
2823,迪利普,1
2824,Rao,1
2825,递进,1
2826,直面,1
2827,梅尔,1
2828,实际,1
2829,预想,1
2830,理查,1
2831,基尔,1
2832,火车站,1
2833,冥冥,1
2834,帕克一,1
2835,狗八公,1
2836,感化,1
2837,Joan,1
2838,在帕克,1
2839,八公会,1
2840,送到,1
2841,下班,1
2842,来不会,1
2843,罗默尔,1
2844,Sarah,1
2845,女婿,1
2846,萨布莱特,1
2847,沉痛,1
2848,埋葬,1
2849,傍晚,1
2850,五点,1
2851,准时,1
2852,守候,1
2853,黄沙,1
2854,遍野,1
2855,小麦,1
2856,秋葵,1
2857,基础,1
2858,农作物,1
2859,枯萎病,1
2860,灭绝,1
2861,仰望,1
2862,星空,1
2863,想象力,1
2864,灵感,1
2865,迸发,1
2866,倒数,1
2867,务农,1
2868,麦肯吉,1
2869,书房,1
2870,重力场,1
2871,现象,1
2872,区域,1
2873,虫洞,1
2874,派遣,1
2875,适合,1
2876,艾米莉亚,1
2877,罗米利,1
2878,吉雅西,1
2879,多伊尔,1
2880,韦斯,1
2881,本特利,1
2882,搭乘宇宙飞船,1
2883,考察,1
2884,银河,1
2885,沧海桑田,1
2886,壮伟,1
2887,浩瀚,1
2888,超越时空,1
2889,笃定,1
2890,情怀,1
2891,ginian号,1
2892,邮轮,1
2893,水手,1
2894,显示,1
2895,无师自通,1
2896,乐鼻祖杰尼,1
2897,高超,1
2898,自叹弗如,1
2899,琴键,1
2900,流淌,1
2901,惊艳,1
2902,谱写,1
2903,金•,1
2904,Jim,1
2905,稀奇,1
2906,绝大多数,1
2907,异样,1
2908,成行,1
2909,干什,1
2910,Chetan,1
2911,处女,1
2912,五点人,1
2913,沙曼,1
2914,乔希,1
2915,Sharman,1
2916,工程学院,1
2917,著称,1
2918,死记硬背,1
2919,病毒,1
2920,Irani,1
2921,质疑,1
2922,鼓动,1
2923,碧雅,1
2924,卡琳娜,1
2925,卡普,1
2926,满眼,1
2927,铜臭,1
2928,特立独行,1
2929,模范,1
2930,消音器,1
2931,奥米,1
2932,高下,1
2933,博览奖,1
2934,协会,1
2935,剧情,1
2936,污染,1
2937,增加,1
2938,适于,1
2939,无边,1
2940,Loa,1
2941,分装员,1
2942,辛勤,1
2943,损坏,1
2944,永无止境,1
2945,小心翼翼,1
2946,收工,1
2947,看看,1
2948,蟑螂,1
2949,杰勒德•尊诺,1
2950,外号,1
2951,体罚,1
2952,司空见惯,1
2953,弗朗西斯•贝尔兰德,1
2954,沉静,1
2955,尝试,1
2956,合唱团,1
2957,封闭,1
2958,皮埃尔•莫安琦,1
2959,尚•巴,1
2960,堤•莫里,1
2961,非同一,1
2962,敏感,1
2963,才能,1
2964,微妙,1
2965,仙子,1
2966,烙印,1
2967,祖座,1
2968,日月,1
2969,神灯,1
2970,灯芯,1
2971,白天,1
2972,同一,1
2973,肉身,1
2974,仇恨,1
2975,誓言,1
2976,意中人,1
2977,经意,1
2978,相许,1
2979,记挂,1
2980,至尊宝,1
2981,自首尔,1
2982,哑语,1
2983,孔宥,1
2984,雾津,1
2985,应聘,1
2986,慈爱,1
2987,聋哑人,1
2988,大雾,1
2989,撞车,1
2990,维修,1
2991,人权,1
2992,柔珍,1
2993,郑有美,1
2994,早亡,1
2995,哮喘,1
2996,祖母,1
2997,照看,1
2998,辛苦,1
2999,谋职,1
3000,教导,1
3001,主任,1
3002,竟逼仁浩,1
3003,索贿,1
3004,窒息,1
3005,聪颖,1
3006,金妍斗,1
3007,金贤秀,1
3008,陈宥利,1
3009,郑仁絮,1
3010,白承焕,1
3011,淤青,1
3012,下课,1
3013,呼喊,1
3014,门卫,1
3015,阻拦,1
3016,深究,1
3017,行贿,1
3018,教导员,1
3019,毒打,1
3020,宿导,1
3021,溺罚妍斗,1
3022,惊天,1
3023,隐秘,1
3024,光州,1
3025,聋哑,1
3026,障碍人,1
3027,孔枝泳,1
3028,哺乳类,1
3029,和谐,1
3030,共存,1
3031,金妮弗,1
3032,刑警,1
3033,智慧,1
3034,毕业,1
3035,肉食类,1
3036,小型,1
3037,食草类,1
3038,伊德瑞斯,1
3039,艾尔巴,1
3040,发配,1
3041,无足轻重,1
3042,执勤,1
3043,贝特曼,1
3044,Bateman,1
3045,动物城,1
3046,惊天秘密,1
3047,会员,1
3048,黑帮卧底,1
3049,晋升,1
3050,上级,1
3051,重望,1
3052,好人,1
3053,重案组,1
3054,获悉,1
3055,泄出,1
3056,高层,1
3057,清除,1
3058,内鬼,1
3059,决心,1
3060,严峻,1
3061,马龙,1
3062,白兰度,1
3063,平民,1
3064,保护神,1
3065,深得人,1
3066,毒枭,1
3067,激化,1
3068,参谋,1
3069,爱妻,1
3070,白热化,1
3071,年老,1
3072,丧子,1
3073,全局,1
3074,落幕,1
3075,温情脉脉,1
3076,里程碑式,1
3077,史诗,1
3078,巨片,1
3079,事物,1
3080,大大胖胖,1
3081,景观,1
3082,眼界,1
3083,挂念,1
3084,克里斯•加纳,1
3085,积蓄,1
3086,治疗仪,1
3087,推销,1
3088,桑迪,1
3089,牛顿,1
3090,Newton,1
3091,克里斯托夫,1
3092,贾登,1
3093,克里斯好,1
3094,股票,1
3095,实习,1
3096,奋斗,1
3097,地铁站,1
3098,公共,1
3099,收容,1
3100,坚信,1
3101,布莱斯,1
3102,卡兰•,1
3103,麦克奥利菲,1
3104,玛德琳,1
3105,•卡,1
3106,高高,1
3107,梧桐树,1
3108,施工,1
3109,捍卫,1
3110,退缩,1
3111,下蛋,1
3112,科技展,1
3113,全场,1
3114,焦点,1
3115,黯然失色,1
3116,卫生,1
3117,丢掉,1
3118,冰点,1
3119,诉说,1
3120,拮据,1
3121,动手,1
3122,鼎力相助,1
3123,道歉,1
3124,风波,1
3125,晚宴,1
3126,午餐,1
3127,评选,1
3128,事故,1
3129,白人,1
3130,翁菲利普,1
3131,招聘,1
3132,全职,1
3133,陪护,1
3134,薪酬,1
3135,应聘者,1
3136,云集,1
3137,舌灿,1
3138,莲花,1
3139,Sy,1
3140,张辞,1
3141,退信,1
3142,申领,1
3143,救济金,1
3144,大于,1
3145,相中,1
