电影名,年份,评分,评价人数,最热评论
喜剧之王,1999,8.8,836274,我是一个演员。
致命ID,2003,8.8,700567,最不可能的那个人永远是最可能的。
被嫌弃的松子的一生,2006,8.9,629742,以戏谑来戏谑戏谑。
杀人回忆,2003,8.9,596350,关于连环杀人悬案的集体回忆。
加勒比海盗,2003,8.8,752279,约翰尼·德普的独角戏。
红辣椒,2006,9.0,377238,梦的勾结。
狩猎,2012,9.1,328207,人言可畏。
剪刀手爱德华,1990,8.7,936491,浪漫忧郁的成人童话。
请以你的名字呼唤我,2017,8.9,605524,沉醉在电影的情感和视听氛围中无法自拔。
勇敢的心,1995,8.9,509955,史诗大片的典范。
7号房的礼物,2013,8.9,477242,《我是山姆》的《美丽人生》。
功夫,2004,8.7,915605,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
超脱,2011,8.9,457078,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与阿兹卡班的囚徒,2004,8.9,580373,不一样的导演，不一样的哈利·波特。
断背山,2005,8.8,628547,每个人心中都有一座断背山。
天使爱美丽,2001,8.7,879140,法式小清新。 
入殓师,2008,8.9,568437,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
唐伯虎点秋香,1993,8.7,922950,华太师是黄霑，吴镇宇四大才子之一。
第六感,1999,8.9,480409,深入内心的恐怖，出人意料的结局。
幽灵公主,1997,8.9,462875,人与自然的战争史诗。
重庆森林,1994,8.8,692840,寂寞没有期限。
小森林 夏秋篇,2014,9.0,369635,那些静得只能听见呼吸的日子里，你明白孤独即生活。
阳光灿烂的日子,1994,8.8,538526,一场华丽的意淫。
爱在黎明破晓前,1995,8.8,559275,缘分是个连绵词，最美不过一瞬。
一一,2000,9.1,314249,我们都曾经是一一。
蝙蝠侠：黑暗骑士崛起,2012,8.8,621956,诺兰就是保证。
菊次郎的夏天,1999,8.9,507498,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
哈利·波特与密室,2002,8.8,606718,魔法的密室之门已打开...
消失的爱人,2014,8.7,795484,年度最佳date movie。
超能陆战队,2014,8.7,877923,Balalala~~~
无人知晓,2004,9.1,265150,我的平常生活就是他人的幸福。
小森林 冬春篇,2015,9.0,330539,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
完美的世界,1993,9.1,258435,坏人的好总是比好人的好来得更感人。
倩女幽魂,1987,8.8,640714,两张绝世的脸。 
爱在日落黄昏时,2004,8.9,461613,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
侧耳倾听,1995,8.9,400950,少女情怀总是诗。
借东西的小人阿莉埃蒂,2010,8.9,475273,曾经的那段美好会沉淀为一辈子的记忆。
甜蜜蜜,1996,8.9,452822,相逢只要一瞬间，等待却像是一辈子。
萤火之森,2011,8.9,454204,触不到的恋人。
驯龙高手,2010,8.7,661918,和谐的生活离不开摸头与被摸头。
幸福终点站,2004,8.8,479967,有时候幸福需要等一等。 
玛丽和马克思,2009,8.9,382976,你是我最好的朋友，你是我唯一的朋友 。
时空恋旅人,2013,8.8,538052,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
大鱼,2003,8.8,500183,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
怪兽电力公司,2001,8.7,572988,不要给它起名字，起了名字就有感情了。
告白,2010,8.8,605490,没有一人完全善，也没有一人完全恶。
阳光姐妹淘,2011,8.8,536896,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
射雕英雄传之东成西就,1993,8.7,559437,百看不厌。 
神偷奶爸,2010,8.6,838225,Mr. I Don't Care其实也有Care的时候。
教父3,1990,9.0,312032,任何信念的力量，都无法改变命运。
傲慢与偏见,2005,8.7,682798,爱是摈弃傲慢与偏见之后的曙光。
玩具总动员3,2010,8.9,441093,跨度十五年的欢乐与泪水。
釜山行,2016,8.6,1033743,揭露人性的丧尸题材力作。
恐怖直播,2013,8.7,567099,恐怖分子的“秋菊打官司”。
一个叫欧维的男人决定去死,2015,8.9,377308,惠及一生的美丽。
哪吒闹海,1979,9.1,221134,想你时你在闹海。
被解救的姜戈,2012,8.8,524862,热血沸腾，那个低俗、性感的无耻混蛋又来了。
血战钢锯岭,2016,8.7,691356,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
未麻的部屋,1997,9.0,262040,好的剧本是，就算你猜到了结局也猜不到全部。
头号玩家,2018,8.7,1197591,写给影迷，动漫迷和游戏迷的一封情书。
寄生虫,2019,8.8,1191636,[]
我是山姆,2001,9.0,281897,爱并不需要智商 。
七武士,1954,9.3,167659,时代悲歌。
喜宴,1993,8.9,299119,中国家庭的喜怒哀乐忍。
新世界,2013,8.9,332491,要做就做得狠一点，这样才能活下去。
电锯惊魂,2004,8.8,455279,真相就在眼前。
哈利·波特与火焰杯,2005,8.7,526296,[]
模仿游戏,2014,8.7,541508,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
黑客帝国3：矩阵革命,2003,8.8,384209,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
花样年华,2000,8.7,509351,偷情本没有这样美。
卢旺达饭店,2004,8.9,278751,当这个世界闭上双眼，他却敞开了怀抱。
